depth,thickness
0.373,0.297
3.009,2.636
3.709,0.7
3.912,0.203
4.268,0.356
4.826,0.558
4.953,0.127
5.436,0.483
5.766,0.33
5.97,0.204
6.384,0.414
6.706,0.322
6.969,0.263
7.29,0.321
7.595,0.305
7.993,0.398
8.332,0.339
8.806,0.474
9.069,0.263
9.881,0.812
10.618,0.737
11.033,0.415
11.592,0.559
12.489,0.897
13.251,0.762
14.318,1.067
15.148,0.83
15.758,0.61
15.995,0.237
16.232,0.237
16.494,0.262
17.062,0.568
17.739,0.677
18.213,0.474
18.654,0.441
19.399,0.745
19.992,0.593
20.559,0.567
21.643,1.084
23.404,1.761
23.76,0.356
24.403,0.643
25.106,0.703
26.164,1.058
27.096,0.932
27.409,0.313
27.739,0.33
28.146,0.407
28.518,0.372
29.009,0.491
29.89,0.881
30.745,0.855
31.253,0.508
31.829,0.576
99.467,67.638
100.322,0.855
100.787,0.465
101.355,0.568
101.888,0.533
102.1,0.212
102.235,0.135
103.099,0.864
104.471,1.372
104.97,0.499
113.81,8.84
114.725,0.915
115.131,0.406
115.597,0.466
116.825,1.228
117.392,0.567
118.129,0.737
118.738,0.609
119.373,0.635
119.585,0.212
120.034,0.449
121.499,1.465
121.973,0.474
122.371,0.398
123.065,0.694
123.522,0.457
124.174,0.652
124.581,0.407
124.962,0.381
125.428,0.466
125.732,0.304
125.986,0.254
126.571,0.585
126.943,0.372
127.782,0.839
128.18,0.398
128.459,0.279
128.696,0.237
128.874,0.178
129.17,0.296
129.424,0.254
129.78,0.356
130.203,0.423
130.635,0.432
130.923,0.288
131.888,0.965
132.532,0.644
133.184,0.652
133.522,0.338
133.946,0.424
135.216,1.27
135.631,0.415
136.901,1.27
138.518,1.617
138.764,0.246
139.924,1.16
141.524,1.6
142.659,1.135
142.87,0.211
144.115,1.245
144.428,0.313
145.326,0.898
146.173,0.847
148.484,2.311
148.95,0.466
149.28,0.33
149.56,0.28
151.16,1.6
152.058,0.898
156.782,4.724
158.637,1.855
160.483,1.846
163.497,3.014
165.03,1.533
167.595,2.565
168.544,0.949
169.881,1.337
171.185,1.304
172.625,1.44
173.692,1.067
176.198,2.506
177.782,1.584
180.872,3.09
182.058,1.186
182.422,0.364
182.913,0.491
183.489,0.576
184.174,0.685
185.732,1.558
188.417,2.685
189.297,0.88
197.6122896,8.315289585
254.9452896,2.913
256.9512896,2.006
258.8742896,1.923
262.3542896,3.48
263.6152896,1.261
264.7412896,1.126
266.5532896,1.812
275.8422896,0.99
278.1112896,2.269
280.5592896,2.448
282.1842896,1.625
284.8522896,2.668
286.4432896,1.591
287.6372896,1.194
291.1092896,3.472
291.7782896,0.669
297.2902896,5.512
297.8242896,0.534
298.0102896,0.186
298.3232896,0.313
298.6962896,0.373
301.0752896,2.379
302.7432896,1.668
306.5702896,3.827
307.8662896,1.296
308.4082896,0.542
308.9672896,0.559
310.6772896,1.71
312.3962896,1.719
314.3182896,1.922
316.0882896,1.77
317.7472896,1.659
318.0272896,0.28
319.7032896,1.676
322.6332896,2.93
324.4282896,1.795
