"","X..i.."
"mu","-0.631515755386973"
"sigma","0.492912603405922"
"nFit","1182"
"R2","0.996812416057058"
"limit.Left","0.0618404973026608"
"limit.Right","2.60386929665827"
"method","Method I"
"distribution","lognormal"
"iRight.1","1529"
"iRight.2","1530"
"iRight.3","1531"
"iRight.4","1532"
"iRight.5","1533"
"iRight.6","1534"
"iRight.7","1535"
"iRight.8","1536"
"iRight.9","1537"
"iRight.10","1538"
"iRight.11","1539"
"iRight.12","1540"
"iRight.13","1541"
"iRight.14","1542"
"iRight.15","1543"
"iRight.16","1544"
"iRight.17","1545"
"iRight.18","1546"
"iRight.19","1547"
"iRight.20","1548"
"iRight.21","1549"
"iRight.22","1550"
"iRight.23","1551"
"iRight.24","1552"
"iRight.25","1553"
"iRight.26","1554"
"iRight.27","1555"
"iRight.28","1556"
"iRight.29","1557"
"iRight.30","1558"
"iRight.31","1559"
"iRight.32","1560"
"iRight.33","1561"
"iRight.34","1562"
"iRight.35","1563"
"iRight.36","1564"
"iRight.37","1565"
"iRight.38","1566"
"iRight.39","1567"
"iRight.40","1568"
"iRight.41","1569"
"iRight.42","1570"
"iRight.43","1571"
"iRight.44","1572"
"iRight.45","1573"
"iRight.46","1574"
"iRight.47","1575"
"nOut.Left","0"
"nOut.Right","47"
"yMin","0.09"
"yMax","0.77"
"rho.Left","0.01"
"rho.Right","1"
"Fmin","0"
"Fmax","0.75"
